"order_id","presence_id","spacetime_volume_id","place_type","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court","earliest_begin","latest_begin","earliest_end","latest_end","source","IIIF_manifest","IIIF_image_URI"
0,5661,3599,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abdijstraat","rue de l'abbaye","van slachthuisboulevard tot kasteelboulevard.",7,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
1,5662,3600,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abeelbroekstraat","rue abeelbroek","s. Amandsberg, wijk oude barriere, van antwerpschen steenweg tot Destelbergen.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
2,5663,3601,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abeelstraat","Rue du tremble","van brabantdam tot zakke- bandstraat",4,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
3,5664,3602,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abrahamstraat","rue d'Abraham","van groot gewat tot meersteeg.",2,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
4,5665,8660,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Abrikoosstraat","rue de l'abricot","van brugschen steenweg tot groendreef.",6,2,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
5,5666,3604,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Academiestraat","rue de l'académie","van augustijnenkaai tot s. margrietestraat.",3,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
6,5667,3606,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterdries","arrière-pré","Gentbrugge, van leemstraat tot boschstraat.",0,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
7,5668,3607,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterlei","quai de l'arrière-lys","van slijpstraat tot huidevetterskaai.",3,1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
8,5669,3608,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achtermuide","arrière-muide","van n° 170 op den meulesteedschen steenweg en uitkomende op den zelfden steenweg tusschen n°s 322 en 324.","HM 3",1,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
9,5670,3609,"https://id.erfgoed.net/thesauri/erfgoedtypes/1212","Achterstraat","arrière rue","van antwerpschen steenweg (dubbele arend) tot antwerpschen steenweg (Potuit) s. Amandsberg.",,,"1895-01-01T00:00:00",,,"1895-12-31T23:59:59","https://www.zotero.org/groups/4391394/items/ATGYF64U","https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28","https://lib.ugent.be/viewer/archive.ugent.be%3AF671A398-513F-11EC-BB1E-55C200E43F28#?c=&m=&s=&cv=583&xywh=-661%2C0%2C4469%2C2706"
